stop_id,boardings,alightings,location
242,3.8,8.2,"{'latitude': '41.87330223', 'longitude': '-87.73913875'}"
243,1.3,4.1,"{'latitude': '41.87324864', 'longitude': '-87.74082431'}"
244,3.8,38.6,"{'latitude': '41.87319817', 'longitude': '-87.7424164'}"
246,33.7,38.3,"{'latitude': '41.87307396', 'longitude': '-87.74898757'}"
247,54.8,116.5,"{'latitude': '41.87305352', 'longitude': '-87.75320123'}"
248,97,94.5,"{'latitude': '41.8730184', 'longitude': '-87.75465067'}"
249,5.4,40.9,"{'latitude': '41.87295351', 'longitude': '-87.75730323'}"
250,2,11.3,"{'latitude': '41.87295262', 'longitude': '-87.75948024'}"
252,3.2,193.6,"{'latitude': '41.87292396', 'longitude': '-87.76447722'}"
257,6.1,1.6,"{'latitude': '41.86555077', 'longitude': '-87.76277284'}"
258,7.1,3.2,"{'latitude': '41.86559297', 'longitude': '-87.75945922'}"
259,25.9,3.9,"{'latitude': '41.86564938', 'longitude': '-87.75705277'}"
260,22,3.6,"{'latitude': '41.86564859', 'longitude': '-87.75467392'}"
261,17.1,5,"{'latitude': '41.86573504', 'longitude': '-87.75213825'}"
262,29.5,7.1,"{'latitude': '41.86574977', 'longitude': '-87.74975926'}"
263,13.8,21.6,"{'latitude': '41.86578791', 'longitude': '-87.74732747'}"
265,8.7,1.5,"{'latitude': '41.86585838', 'longitude': '-87.74241065'}"
268,9.4,13.3,"{'latitude': '41.8659273', 'longitude': '-87.73749989'}"
270,84.4,38.1,"{'latitude': '41.86599795', 'longitude': '-87.73259722'}"
272,87.1,66.5,"{'latitude': '41.866075', 'longitude': '-87.727721'}"
274,118,45.9,"{'latitude': '41.86611509', 'longitude': '-87.72282126'}"
275,204.2,90.4,"{'latitude': '41.86614847', 'longitude': '-87.72026246'}"
277,143.1,53,"{'latitude': '41.86617777', 'longitude': '-87.71794192'}"
278,205.4,102.6,"{'latitude': '41.86620404', 'longitude': '-87.71563462'}"
279,80.2,100.7,"{'latitude': '41.866258', 'longitude': '-87.713081'}"
283,50.1,114.5,"{'latitude': '41.86634562', 'longitude': '-87.703247'}"
284,89.4,77.3,"{'latitude': '41.8663703', 'longitude': '-87.7009535'}"
285,57.5,148.5,"{'latitude': '41.866419', 'longitude': '-87.698427'}"
287,36.4,19.3,"{'latitude': '41.866475', 'longitude': '-87.693527'}"
288,12.4,4.2,"{'latitude': '41.866485', 'longitude': '-87.692302'}"
296,8.2,1.9,"{'latitude': '41.86662475', 'longitude': '-87.6735674'}"
297,134.2,44.7,"{'latitude': '41.86664343', 'longitude': '-87.67146821'}"
298,150.8,192.7,"{'latitude': '41.86669057', 'longitude': '-87.66900774'}"
300,5.3,5.9,"{'latitude': '41.86676743', 'longitude': '-87.66409989'}"
302,68.6,94.9,"{'latitude': '41.86684613', 'longitude': '-87.65925658'}"
303,299.4,186.6,"{'latitude': '41.86688693', 'longitude': '-87.65681615'}"
305,108.7,41.4,"{'latitude': '41.86693795', 'longitude': '-87.65360529'}"
306,94,71.5,"{'latitude': '41.86702954', 'longitude': '-87.65122372'}"
307,27.2,64.2,"{'latitude': '41.86700611', 'longitude': '-87.64940554'}"
310,293.5,219.8,"{'latitude': '41.86711861', 'longitude': '-87.64227064'}"
312,610.8,175.8,"{'latitude': '41.86713891', 'longitude': '-87.63882598'}"
313,9.3,15.6,"{'latitude': '41.86718878', 'longitude': '-87.63557243'}"
315,48.5,388.9,"{'latitude': '41.86723861', 'longitude': '-87.63060611'}"
316,322.2,2370.9,"{'latitude': '41.86728699', 'longitude': '-87.62711056'}"
318,27.9,493,"{'latitude': '41.867333', 'longitude': '-87.624345'}"
